Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
3.80189396320563e+01	(-6.98613010104234e-01dB,-2.03670970075179e+01°)
3.98107170553500e+01	(-7.49070900174520e-01dB,-2.12430588067825e+01°)
4.16869383470338e+01	(-8.03731291126139e-01dB,-2.21492721287521e+01°)
4.36515832240169e+01	(-8.62884938062599e-01dB,-2.30858437077796e+01°)
4.57088189614878e+01	(-9.26832776147033e-01dB,-2.40527562075112e+01°)
4.78630092322641e+01	(-9.95884609277557e-01dB,-2.50498557090231e+01°)
5.01187233627275e+01	(-1.07035749943886e+00dB,-2.60768395201118e+01°)
5.24807460249776e+01	(-1.15057384462960e+00dB,-2.71332446182539e+01°)
5.49540873857628e+01	(-1.23685914069664e+00dB,-2.82184370763736e+01°)
5.75439937337161e+01	(-1.32953943156391e+00dB,-2.93316028499581e+01°)
6.02559586074362e+01	(-1.42893846309764e+00dB,-3.04717403230475e+01°)
6.30957344480197e+01	(-1.53537456794727e+00dB,-3.16376550158369e+01°)
6.60693448007600e+01	(-1.64915732174387e+00dB,-3.28279568449317e+01°)
6.91830970918941e+01	(-1.77058402443352e+00dB,-3.40410602960891e+01°)
7.24435960074995e+01	(-1.89993607357559e+00dB,-3.52751878167835e+01°)
7.58577575029189e+01	(-2.03747530829563e+00dB,-3.65283766616544e+01°)
7.94328234724287e+01	(-2.18344041235727e+00dB,-3.77984893288572e+01°)
8.31763771102677e+01	(-2.33804347161455e+00dB,-3.90832276122801e+01°)
8.70963589956087e+01	(-2.50146678412758e+00dB,-4.03801501681035e+01°)
9.12010839355916e+01	(-2.67386001984513e+00dB,-4.16866933604341e+01°)
9.54992586021443e+01	(-2.85533782062043e+00dB,-4.30001950173121e+01°)
1.00000000000001e+02	(-3.04597792041620e+00dB,-4.43179206034517e+01°)
1.04712854805091e+02	(-3.24581985019694e+00dB,-4.56370912080330e+01°)
1.09647819614319e+02	(-3.45486427291891e+00dB,-4.69549126622375e+01°)
1.14815362149689e+02	(-3.67307297223739e+00dB,-4.82686050481611e+01°)
1.20226443461742e+02	(-3.90036949533366e+00dB,-4.95754318421551e+01°)
1.25892541179418e+02	(-4.13664042701878e+00dB,-5.08727279530063e+01°)
1.31825673855642e+02	(-4.38173725041186e+00dB,-5.21579259672956e+01°)
1.38038426460290e+02	(-4.63547873028874e+00dB,-5.34285799969550e+01°)
1.44543977074594e+02	(-4.89765373970312e+00dB,-5.46823866313554e+01°)
1.51356124843622e+02	(-5.16802443940612e+00dB,-5.59172026207571e+01°)
1.58489319246113e+02	(-5.44632971328977e+00dB,-5.71310590512424e+01°)
1.65958690743757e+02	(-5.73228876154444e+00dB,-5.83221719051071e+01°)
1.73780082874939e+02	(-6.02560475609715e+00dB,-5.94889490275367e+01°)
1.81970085861000e+02	(-6.32596846957854e+00dB,-6.06299936339943e+01°)
1.90546071796326e+02	(-6.63306179875297e+00dB,-6.17441045884585e+01°)
