Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
3.80189396320563e+01	(-7.00207078810453e-01dB,-2.03954001429882e+01°)
3.98107170553500e+01	(-7.50798545328457e-01dB,-2.12723530395280e+01°)
4.16869383470338e+01	(-8.05601892872099e-01dB,-2.21795628064953e+01°)
4.36515832240169e+01	(-8.64908228876733e-01dB,-2.31171323016431e+01°)
4.57088189614878e+01	(-9.29018802334338e-01dB,-2.40850398987560e+01°)
4.78630092322641e+01	(-9.98243682889726e-01dB,-2.50831269817926e+01°)
5.01187233627275e+01	(-1.07290014011562e+00dB,-2.61110857698177e+01°)
5.24807460249776e+01	(-1.15331071108306e+00dB,-2.71684477865222e+01°)
5.49540873857628e+01	(-1.23980095183140e+00dB,-2.82545733245695e+01°)
5.75439937337161e+01	(-1.33269687755423e+00dB,-2.93686422841187e+01°)
6.02559586074362e+01	(-1.43232210712087e+00dB,-3.05096467834554e+01°)
6.30957344480197e+01	(-1.53899473969129e+00dB,-3.16763859443671e+01°)
6.60693448007600e+01	(-1.65302400424027e+00dB,-3.28674632426075e+01°)
6.91830970918941e+01	(-1.77470673621036e+00dB,-3.40812867818967e+01°)
7.24435960074995e+01	(-1.90432374853574e+00dB,-3.53160727967013e+01°)
7.58577575029189e+01	(-2.04213617608632e+00dB,-3.65698526140483e+01°)
7.94328234724287e+01	(-2.18838188226935e+00dB,-3.78404832089520e+01°)
8.31763771102677e+01	(-2.34327202321887e+00dB,-3.91256613744310e+01°)
8.70963589956087e+01	(-2.50698786787726e+00dB,-4.04229414002868e+01°)
9.12010839355916e+01	(-2.67967797075005e+00dB,-4.17297560209408e+01°)
9.54992586021443e+01	(-2.86145578781828e+00dB,-4.30434402593342e+01°)
1.00000000000001e+02	(-3.05239781502466e+00dB,-4.43612576693984e+01°)
1.04712854805091e+02	(-3.25254231326105e+00dB,-4.56804283722311e+01°)
1.09647819614319e+02	(-3.46188866458604e+00dB,-4.69981581984267e+01°)
1.14815362149689e+02	(-3.68039738254800e+00dB,-4.83116681969991e+01°)
1.20226443461742e+02	(-3.90799077624078e+00dB,-4.96182237539728e+01°)
1.25892541179418e+02	(-4.14455424450463e+00dB,-5.09151625822043e+01°)
1.31825673855642e+02	(-4.38993815488855e+00dB,-5.21999208970429e+01°)
1.38038426460290e+02	(-4.64396024289835e+00dB,-5.34700571760116e+01°)
1.44543977074594e+02	(-4.90640845169416e+00dB,-5.47232730087150e+01°)
1.51356124843622e+02	(-5.17704412148120e+00dB,-5.59574306680778e+01°)
1.58489319246113e+02	(-5.45560543169195e+00dB,-5.71705671674838e+01°)
1.65958690743757e+02	(-5.74181099767968e+00dB,-5.83609047020896e+01°)
1.73780082874939e+02	(-6.03536352665061e+00dB,-5.95268574991304e+01°)
1.81970085861000e+02	(-6.33595344435912e+00dB,-6.06670352150823e+01°)
1.90546071796326e+02	(-6.64326241386031e+00dB,-6.17802431126269e+01°)
1.99526231496890e+02	(-6.95696667947294e+00dB,-6.28654793246752e+01°)
2.08929613085406e+02	(-7.27674018215311e+00dB,-6.39219295652168e+01°)
2.18776162394957e+02	(-7.60225740588159e+00dB,-6.49489596780143e+01°)
2.29086765276779e+02	(-7.93319592770325e+00dB,-6.59461064258750e+01°)
2.39883291901951e+02	(-8.26923865616191e+00dB,-6.69130669180391e+01°)
2.51188643150960e+02	(-8.61007575362802e+00dB,-6.78496870542671e+01°)
2.63026799189540e+02	(-8.95540624717302e+00dB,-6.87559493348032e+01°)
2.75422870333819e+02	(-9.30493934008443e+00dB,-6.96319603487885e+01°)
2.88403150312663e+02	(-9.65839544184236e+00dB,-7.04779382128928e+01°)
3.01995172040204e+02	(-1.00155069384888e+01dB,-7.12942001894404e+01°)
3.16227766016841e+02	(-1.03760187279651e+01dB,-7.20811506712766e+01°)
3.31131121482594e+02	(-1.07396885463737e+01dB,-7.28392696806084e+01°)
3.46736850452535e+02	(-1.11062871114448e+01dB,-7.35691019922085e+01°)
3.63078054770105e+02	(-1.14755981089697e+01dB,-7.42712469584399e+01°)
3.80189396320565e+02	(-1.18474180468072e+01dB,-7.49463490848695e+01°)
3.98107170553501e+02	(-1.22215559994571e+01dB,-7.55950893809117e+01°)
4.16869383470339e+02	(-1.25978332642775e+01dB,-7.62181774898635e+01°)
4.36515832240170e+02	(-1.29760829483458e+01dB,-7.68163445865568e+01°)
4.57088189614879e+02	(-1.33561495028200e+01dB,-7.73903370183343e+01°)
4.78630092322643e+02	(-1.37378882195364e+01dB,-7.79409106557054e+01°)
5.01187233627277e+02	(-1.41211647025428e+01dB,-7.84688259124301e+01°)
5.24807460249778e+02	(-1.45058543253531e+01dB,-7.89748433904881e+01°)
5.49540873857630e+02	(-1.48918416829468e+01dB,-7.94597201029923e+01°)
5.75439937337163e+02	(-1.52790200459457e+01dB,-7.99242062272511e+01°)
6.02559586074364e+02	(-1.56672908229747e+01dB,-8.03690423405230e+01°)
6.30957344480200e+02	(-1.60565630359673e+01dB,-8.07949570922600e+01°)
6.60693448007603e+02	(-1.64467528120850e+01dB,-8.12026652685687e+01°)
6.91830970918944e+02	(-1.68377828949889e+01dB,-8.15928662070096e+01°)
7.24435960074998e+02	(-1.72295821774083e+01dB,-8.19662425225428e+01°)
7.58577575029192e+02	(-1.76220852562874e+01dB,-8.23234591083011e+01°)
7.94328234724290e+02	(-1.80152320112361e+01dB,-8.26651623777856e+01°)
8.31763771102680e+02	(-1.84089672065664e+01dB,-8.29919797179903e+01°)
8.70963589956090e+02	(-1.88032401168245e+01dB,-8.33045191257886e+01°)
9.12010839355920e+02	(-1.91980041754448e+01dB,-8.36033690026273e+01°)
9.54992586021446e+02	(-1.95932166459267e+01dB,-8.38890980851284e+01°)
1.00000000000001e+03	(-1.99888383147619e+01dB,-8.41622554915977e+01°)
1.04712854805091e+03	(-2.03848332052184e+01dB,-8.44233708666517e+01°)
1.09647819614320e+03	(-2.07811683109963e+01dB,-8.46729546082134e+01°)
1.14815362149690e+03	(-2.11778133487162e+01dB,-8.49114981629861e+01°)
1.20226443461743e+03	(-2.15747405281689e+01dB,-8.51394743782012e+01°)
1.25892541179418e+03	(-2.19719243392409e+01dB,-8.53573378989605e+01°)
1.31825673855642e+03	(-2.23693413544370e+01dB,-8.55655256018591e+01°)
1.38038426460290e+03	(-2.27669700459362e+01dB,-8.57644570568025e+01°)
1.44543977074594e+03	(-2.31647906161408e+01dB,-8.59545350100197e+01°)
1.51356124843623e+03	(-2.35627848407120e+01dB,-8.61361458822459e+01°)
1.58489319246113e+03	(-2.39609359231210e+01dB,-8.63096602769030e+01°)
1.65958690743758e+03	(-2.43592283597830e+01dB,-8.64754334938677e+01°)
1.73780082874940e+03	(-2.47576478148832e+01dB,-8.66338060450786e+01°)
1.81970085861001e+03	(-2.51561810040427e+01dB,-8.67851041688230e+01°)
1.90546071796327e+03	(-2.55548155860153e+01dB,-8.69296403400507e+01°)
1.99526231496890e+03	(-2.59535400616428e+01dB,-8.70677137745155e+01°)
2.08929613085406e+03	(-2.63523436793341e+01dB,-8.71996109249256e+01°)
2.18776162394958e+03	(-2.67512163463699e+01dB,-8.73256059676310e+01°)
2.29086765276780e+03	(-2.71501485453645e+01dB,-8.74459612786590e+01°)
2.39883291901952e+03	(-2.75491312552480e+01dB,-8.75609278981693e+01°)
