Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
3.80189396320563e+01	(-6.99532057646723e-01dB,-2.03834200193502e+01°)
3.98107170553500e+01	(-7.50066966708068e-01dB,-2.12599535144691e+01°)
4.16869383470338e+01	(-8.04809786284105e-01dB,-2.21667416317852e+01°)
4.36515832240169e+01	(-8.64051474867200e-01dB,-2.31038888710360e+01°)
4.57088189614878e+01	(-9.28093148835341e-01dB,-2.40713754228506e+01°)
4.78630092322641e+01	(-9.97244765605292e-01dB,-2.50690446603142e+01°)
5.01187233627275e+01	(-1.07182350717251e+00dB,-2.60965909572397e+01°)
5.24807460249776e+01	(-1.15215185206425e+00dB,-2.71535481464053e+01°)
5.49540873857628e+01	(-1.23855533119534e+00dB,-2.82392789675242e+01°)
5.75439937337161e+01	(-1.33135997230133e+00dB,-2.93529658839632e+01°)
6.02559586074362e+01	(-1.43088944840999e+00dB,-3.04936036659690e+01°)
6.30957344480197e+01	(-1.53746195793212e+00dB,-3.16599941430817e+01°)
6.60693448007600e+01	(-1.65138687700206e+00dB,-3.28507435163832e+01°)
6.91830970918941e+01	(-1.77296123810279e+00dB,-3.40642625896095e+01°)
7.24435960074995e+01	(-1.90246610204254e+00dB,-3.52987702252609e+01°)
7.58577575029189e+01	(-2.04016290217805e+00dB,-3.65523002571648e+01°)
7.94328234724287e+01	(-2.18628984951155e+00dB,-3.78227119955080e+01°)
8.31763771102677e+01	(-2.34105849401548e+00dB,-3.91077043470272e+01°)
8.70963589956087e+01	(-2.50465054048521e+00dB,-4.04048334463306e+01°)
9.12010839355916e+01	(-2.67721501575065e+00dB,-4.17115335605388e+01°)
9.54992586021443e+01	(-2.85886587785119e+00dB,-4.30251408960618e+01°)
1.00000000000001e+02	(-3.04968014677896e+00dB,-4.43429198116416e+01°)
1.04712854805091e+02	(-3.24969662095723e+00dB,-4.56620908341453e+01°)
1.09647819614319e+02	(-3.45891522447249e+00dB,-4.69798597905054e+01°)
1.14815362149689e+02	(-3.67729700825228e+00dB,-4.82934473167336e+01°)
1.20226443461742e+02	(-3.90476480514086e+00dB,-4.96001179870859e+01°)
1.25892541179418e+02	(-4.14120451560316e+00dB,-5.08972083244345e+01°)
1.31825673855642e+02	(-4.38646697895862e+00dB,-5.21821530055032e+01°)
1.38038426460290e+02	(-4.64037036591321e+00dB,-5.34525086577942e+01°)
1.44543977074594e+02	(-4.90270301273604e+00dB,-5.47059747527826e+01°)
1.51356124843622e+02	(-5.17322660644435e+00dB,-5.59404112246669e+01°)
1.58489319246113e+02	(-5.45167962414743e+00dB,-5.71538525773652e+01°)
1.65958690743757e+02	(-5.73778092825749e+00dB,-5.83445183762110e+01°)
1.73780082874939e+02	(-6.03123342222553e+00dB,-5.95108201474796e+01°)
1.81970085861000e+02	(-6.33172767820763e+00dB,-6.06513648221656e+01°)
1.90546071796326e+02	(-6.63894545780812e+00dB,-6.17649549557531e+01°)
1.99526231496890e+02	(-6.95256305887187e+00dB,-6.28505860303734e+01°)
2.08929613085406e+02	(-7.27225443434627e+00dB,-6.39074411985156e+01°)
2.18776162394957e+02	(-7.59769404262569e+00dB,-6.49348838590293e+01°)
2.29086765276779e+02	(-7.92855940184391e+00dB,-6.59324484681019e+01°)
2.39883291901951e+02	(-8.26453333269620e+00dB,-6.68998299829302e+01°)
2.51188643150960e+02	(-8.60530588515146e+00dB,-6.78368723170047e+01°)
2.63026799189540e+02	(-8.95057595359023e+00dB,-6.87435561566561e+01°)
2.75422870333819e+02	(-9.30005259237295e+00dB,-6.96199864519799e+01°)
2.88403150312663e+02	(-9.65345604959061e+00dB,-7.04663798544874e+01°)
3.01995172040204e+02	(-1.00105185408811e+01dB,-7.12830523313579e+01°)
3.16227766016841e+02	(-1.03709847878611e+01dB,-7.20704071441085e+01°)
3.31131121482594e+02	(-1.07346123471172e+01dB,-7.28289233394464e+01°)
3.46736850452535e+02	(-1.11011717560376e+01dB,-7.35591448631954e+01°)
3.63078054770105e+02	(-1.14704465212606e+01dB,-7.42616703751633e+01°)
3.80189396320565e+02	(-1.18422329743638e+01dB,-7.49371438141015e+01°)
3.98107170553501e+02	(-1.22163400178135e+01dB,-7.55862457375024e+01°)
4.16869383470339e+02	(-1.25925887822798e+01dB,-7.62096854408446e+01°)
4.36515832240170e+02	(-1.29708122143464e+01dB,-7.68081938447145e+01°)
4.57088189614879e+02	(-1.33508546115004e+01dB,-7.73825171256600e+01°)
4.78630092322643e+02	(-1.37325711191696e+01dB,-7.79334110572421e+01°)
5.01187233627277e+02	(-1.41158272025321e+01dB,-7.84616360211099e+01°)
5.24807460249778e+02	(-1.45004981039101e+01dB,-7.89679526435987e+01°)
5.49540873857630e+02	(-1.48864682947961e+01dB,-7.94531180109364e+01°)
5.75439937337163e+02	(-1.52736309299628e+01dB,-7.99178824152600e+01°)
6.02559586074364e+02	(-1.56618873096840e+01dB,-8.03629865839810e+01°)
6.30957344480200e+02	(-1.60511463548425e+01dB,-8.07891593462676e+01°)
6.60693448007603e+02	(-1.64413240986081e+01dB,-8.11971156923457e+01°)
6.91830970918944e+02	(-1.68323431974376e+01dB,-8.15875551837011e+01°)
7.24435960074998e+02	(-1.72241324633499e+01dB,-8.19611606749557e+01°)
7.58577575029192e+02	(-1.76166264187667e+01dB,-8.23185973110541e+01°)
7.94328234724290e+02	(-1.80097648746525e+01dB,-8.26605117663178e+01°)
8.31763771102680e+02	(-1.84034925322396e+01dB,-8.29875316948326e+01°)
8.70963589956090e+02	(-1.87977586082543e+01dB,-8.33002653644643e+01°)
9.12010839355920e+02	(-1.91925164832743e+01dB,-8.35993014495093e+01°)
9.54992586021446e+02	(-1.95877233726191e+01dB,-8.38852089595495e+01°)
1.00000000000001e+03	(-1.99833400190063e+01dB,-8.41585372844751e+01°)
1.04712854805091e+03	(-2.03793304060786e+01dB,-8.44198163378587e+01°)
1.09647819614320e+03	(-2.07756614918206e+01dB,-8.46695567829050e+01°)
1.14815362149690e+03	(-2.11723029608256e+01dB,-8.49082503270586e+01°)
1.20226443461743e+03	(-2.15692269943407e+01dB,-8.51363700730449e+01°)
1.25892541179418e+03	(-2.19664080570079e+01dB,-8.53543709156448e+01°)
1.31825673855642e+03	(-2.23638226992203e+01dB,-8.55626899748696e+01°)
1.38038426460290e+03	(-2.27614493740295e+01dB,-8.57617470574360e+01°)
