frequency, magnitude
10.444709824196202, 0.038471177944863655
11.268067793289358, 0.038471177944863655
12.156331188830906, 0.038471177944863655
13.114616514869612, 0.038471177944863655
14.1484436102001, 0.038471177944863655
15.263767443298532, 0.038471177944863655
16.467012413657635, 0.038471177944863655
17.76510935710089, 0.038471177944863655
19.165535468230896, 0.038471177944863655
20.67635736997001, 0.038471177944863655
22.306277578279175, 0.038471177944863655
24.064684629697044, 0.038471177944863655
25.9617071604402, 0.038471177944863655
28.00827224856663, 0.038471177944863655
30.216168355260304, 0.038471177944863655
32.5981132277861, 0.038471177944863655
35.16782715524449, 0.038471177944863655
37.94011199908787, 0.038471177944863655
40.930936453623595, 0.038471177944863655
44.15752802761498, 0.038471177944863655
47.63847227680469, 0.038471177944863655
51.393819858952455, 0.038471177944863655
55.4452020280366, 0.038471177944863655
59.815955232879865, 0.038471177944863655
64.53125553790305, 0.038471177944863655
69.61826364028545, 0.038471177944863655
75.10628131884916, 0.038471177944863655
81.02692021583123, 0.038471177944863655
87.41428392374678, 0.038471177944863655
94.3051644261859, 0.038471177944863655
101.73925402406675, 0.038471177944863655
109.75937396806461, 0.038471177944863655
118.41172111416994, 0.038471177944863655
127.74613402313666, 0.038471177944863655
137.81638003659006, 0.038471177944863655
148.68046498338566, 0.038471177944863655
160.4009673001617, 0.038471177944863655
173.04539849066646, 0.038471177944863655
186.68659200014304, 0.038471177944863655
201.40312274473823, 0.038471177944863655
217.27975971247585, 0.038471177944863655
234.4079542428281, 0.038471177944863655
252.88636679743516, 0.038471177944863655
272.8214352562379, 0.038471177944863655
294.3279880124744, 0.038471177944863655
317.52990539804136, 0.038471177944863655
342.56083324911685, 0.038471177944863655
369.56495272225493, 0.038471177944863655
398.6978107951994, 0.038471177944863655
430.12721623619615, 0.038471177944863655
464.034206202687, 0.038471177944863655
500.614089037124, 0.038471177944863655
540.077569266528, 0.038471177944863655
582.6519612859138, 0.038471177944863655
628.582498716562, 0.038471177944863655
678.1337469811925, 0.038471177944863655
731.591127232629, 0.038471177944863655
789.262560413988, 0.038471177944863655
851.4802409203719, 0.011925647451963783
918.6025500785495, -0.12080200501253202
991.0161204665288, -0.28007518796992414
1069.138062963739, -0.28007518796992414
1153.4183693598782, -0.28007518796992414
1244.342504361776, -0.28007518796992414
1342.434201928535, -0.28007518796992414
1448.2584820421414, -0.28007518796992414
1562.4249052905625, -0.28007518796992414
1685.5910840100953, -0.41280284043441995
1818.4664702115358, -0.5986215538847119
1961.8164421091612, -0.5986215538847119
2116.466712791322, -0.5986215538847119
2283.3080864272047, -0.8375313283208037
2463.3015894060554, -0.9171679197994997
2657.484005964804, -0.9968045112781958
2866.973850190042, -1.235714285714284
3092.9778087937775, -1.34189640768588
3336.7976917740725, -1.5542606516290718
3599.8379309973006, -1.7931704260651635
3883.6136698947244, -1.978989139515452
4189.759490870946, -2.2178989139515437
4520.038830695274, -2.5364452798663315
4876.354138109751, -2.8284461152882194
5260.757832162789, -3.1735380116959035
5675.464124389888, -3.545175438596491
6122.861772938574, -3.9168128654970786
6605.527842102713, -4.288450292397659
7126.242546522988, -4.713178780284046
