Source_Condition,Unit_ID,Run_ID,True_Label,Severity,Location_of_fault,CCF_LF,LCC_LF,SDA_LF,SE_LF,CSD_LF,CCF_MF,LCC_MF,SDA_MF,SE_MF,CSD_MF,CCF_HF,LCC_HF,SDA_HF,SE_HF,CSD_HF,Peak_1_Hz,Peak_1_dB,Peak_2_Hz,Peak_2_dB,Peak_3_Hz,Peak_3_dB,Peak_4_Hz,Peak_4_dB,Peak_5_Hz,Peak_5_dB
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_17,Trace_4.txt,3,Moderate,Global,0.9999752090393599,0.9999737745987124,0.01203290415944964,-0.0008112180095500015,0.010237298086908958,0.99999471921218,0.9999898470531926,0.0009784306920729816,0.005259977500000037,0.01936501314580852,0.9972670468210082,0.9970565803415294,0.021340427656972916,0.11596687290250002,0.435217513619487,171639.5,0.0267107,336715.9,-0.1877036,492431.9,-0.08881776,630812.0,0.009959396,754117.0,0.01926317
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_18,Trace_1.txt,3,Moderate,Global,0.9999787891638018,0.9999773784436785,0.010849780473892083,0.0015311044099333257,0.010553767344055645,0.9999957225603534,0.9999840324172665,0.0012633128893926864,0.01838879250000001,0.01572425282363509,0.9530295497787891,0.9527107794215827,0.036487309006194686,0.1496958661975001,1.852381245570978,158343.3,0.008979235,310632.0,0.008602651,451676.4,0.252505,581945.7,-0.7007557,691703.5,-0.7016687
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_18,Trace_2.txt,3,Moderate,Global,0.999980356883792,0.9999740606030795,0.011654023979282401,-0.002357196302866672,0.011200402578578995,0.9999926767783263,0.9999865426997087,0.0012361857332720424,-0.008030435000000018,0.020713879739329786,0.9893868417822818,0.9893055739125983,0.03015449511604338,0.05656484034750005,0.8812336937279044,157434.0,-0.03002008,308848.1,-0.002921884,449082.5,-0.08953755,578603.7,0.1382453,691703.5,0.02446695
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_18,Trace_3.txt,3,Moderate,Global,0.999978691975442,0.9999667547427509,0.012843481370628544,0.00411732484275416,0.012235701441617087,0.9999950904824763,0.9999442732333278,0.002714312630007707,0.04136008500000006,0.018161141519077672,0.9545434286387752,0.9545170252185369,0.035773018357701386,0.04201961300750003,1.8261000499350715,158343.3,-0.05742027,310632.0,-0.1075765,451676.4,0.08761334,578603.7,-0.5788076,691703.5,0.1810058
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_18,Trace_4.txt,3,Moderate,Global,0.9999796413646747,0.9999704329068478,0.012376945264896461,-0.003286742858841674,0.011772894520298628,0.9999885016259139,0.9999785339848344,0.0014980354792547984,-0.006849727500000018,0.02719462689472135,0.9745108673363132,0.9741664091096811,0.04077997854539958,0.09934464335750004,1.3607633441859184,157434.0,0.0299545,308848.1,-0.1185912,449082.5,-0.4680914,578603.7,-0.3975948,687731.2,-1.522268
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_19,Trace_1.txt,3,Moderate,Global,0.9999748844326717,0.9999748460337392,0.01163880640437564,-3.3965515540832434e-05,0.010122966440117242,0.9999902040784169,0.9999696744740187,0.0015654047871184473,0.01975948499999998,0.027975772851368222,0.9734487956681163,0.9734369103965133,0.04227136986064351,-0.00236810118250002,1.36383465790727,167730.6,0.02254971,329047.5,0.05707569,481217.2,-0.3102465,616445.9,-0.3538767,736942.7,-1.770733
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_19,Trace_2.txt,3,Moderate,Global,0.9999773853825898,0.9999761768439258,0.011497650857453119,-0.0013344699516500051,0.009768279031667586,0.999989501119223,0.9999768991375277,0.0013703369491606145,0.009645164999999997,0.02830424560947671,0.9869186969607737,0.9868006862288221,0.03913237486369277,0.089517361495,0.9535211609210047,167730.6,-0.006773109,329047.5,-0.03879878,481217.2,-0.1911597,616445.9,-0.385994,732710.6,-0.2341835
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_19,Trace_3.txt,3,Moderate,Global,0.9999753134122519,0.9999741176825329,0.011921286630251517,-0.0015998483278158353,0.01015001999581699,0.9999934745974349,0.9999873662446874,0.0010324313510236525,0.0066015099999999945,0.021121362867209167,0.9730905041005975,0.9730890254064505,0.03678249339517875,0.00986030829249997,1.3689836422381627,167730.6,-0.04197662,329047.5,0.04041421,481217.2,0.02967191,616445.9,-0.1278609,736942.7,-0.05905871
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_2,Trace_1.txt,3,Moderate,Global,0.9999746398795001,0.9999744663364148,0.01186734274953199,-0.0005624461752999983,0.010273670437862318,0.9999963316788225,0.9999942191674062,0.0007724601302114431,0.0046422525000000435,0.014202235945031292,0.9705934203882269,0.9705825702404859,0.031218857155497423,0.023127708895,1.4353892606199656,167730.6,-0.02075525,329047.5,-0.1731536,478453.7,0.07467197,612905.8,0.1008217,732710.6,0.1348096
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_2,Trace_2.txt,3,Moderate,Global,0.9999766766588037,0.9999735484285192,0.012036121686640587,-0.0012000636173083333,0.010413458979802325,0.999993137812777,0.9999876540024485,0.0010962738233825265,0.0017278950000000392,0.02175305674804537,0.9633782480089306,0.9633165195151663,0.04169338632254079,0.06592221459500003,1.5982102758822596,166767.4,0.06054568,327157.9,0.114798,478453.7,-0.1493517,612905.8,-0.5910081,732710.6,0.409559
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_20,Trace_1.txt,3,Moderate,Global,0.9999791404684591,0.9999759139553535,0.011391619117199207,-0.0018475419900000009,0.010370294402118646,0.9999928801101914,0.9999867250115243,0.00109714614119511,0.002460392499999895,0.022080549024798637,0.9695934368087098,0.9695630436201942,0.041288225511590684,0.04634560199999995,1.4743925205395785,160177.8,-0.02047811,314230.7,-0.1086035,459548.3,0.04054112,588687.7,-0.286864,703758.6,-0.740848
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_20,Trace_2.txt,3,Moderate,Global,0.9999800975326733,0.9999744541594973,0.01165499002025078,-0.002466177405291667,0.010567929174439751,0.9999950109484705,0.9999900650640909,0.0010913597096421136,-0.010094152500000094,0.016363935797852374,0.9805212728732999,0.980518231911656,0.02718769204650132,0.011931033375000033,1.1800379641741698,161103.0,0.01223677,316045.7,-0.1345663,459548.3,-0.01214913,588687.7,-0.1663415,703758.6,-0.2936909
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_20,Trace_3.txt,3,Moderate,Global,0.9999768824002583,0.9999749812901612,0.011694372398810523,-0.0014596133971166666,0.01063306101893051,0.9999922735119271,0.9999852688341591,0.0011307297266910544,0.003990449999999899,0.023058898206848033,0.9649305139438279,0.9647404446789091,0.04456859790637396,0.10889944417499993,1.5767654035982286,160177.8,-0.02604911,316045.7,-0.02896512,459548.3,-0.1021345,588687.7,0.1845395,707823.5,-0.9511257
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_20,Trace_4.txt,3,Moderate,Global,0.9999767532251999,0.9999716590977907,0.012363562536674673,0.0023629692900833357,0.011149867628623175,0.999992821606017,0.9999505309406318,0.002427115724975156,0.03625263249999992,0.02283733160045224,0.9739860972130294,0.9738765438182772,0.033517080760365275,0.08278917287499997,1.3670405246055999,160177.8,-0.01412115,316045.7,-0.02064867,459548.3,-0.1650112,588687.7,-0.2313712,703758.6,0.4220449
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_21,Trace_1.txt,3,Moderate,Global,0.9999795458174573,0.999974242234468,0.011616315368693751,-0.002464164241037497,0.010834694004261307,0.9999955158950184,0.999991206460261,0.0010457927849362506,-0.01060438000000002,0.014978881923722256,0.9826368157110756,0.9826151499022642,0.029644678466293376,0.029330393064999995,1.1186833377426533,164857.4,0.01511234,323411.1,-0.04378537,470258.0,-0.3569124,602406.9,-0.6045176,720159.5,-0.03772262
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_21,Trace_2.txt,3,Moderate,Global,0.9999783687115558,0.9999694174899768,0.01260037689493003,-0.003174497925683333,0.011689123628591785,0.9999940783202043,0.9999879281785521,0.0012247053780042056,-0.01008680250000012,0.018982125493186768,0.9785549995645573,0.97842137782283,0.03348496346728133,0.08822574621649996,1.2418361433450864,163910.7,-0.0002360974,321553.8,-0.05927406,470258.0,0.1220257,602406.9,-0.5244051,716023.8,-1.974852
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_21,Trace_3.txt,3,Moderate,Global,0.9999789775628967,0.9999721073159328,0.01210737565767222,-0.0030090984338308324,0.011166083940195606,0.999993209500183,0.9999872187562299,0.0011907586806859823,-0.005437840000000076,0.021437260026832865,0.9833298506857401,0.9831584792098365,0.030498877320871545,0.09680765785999995,1.0945967194717765,163910.7,0.03224411,321553.8,-0.1072277,470258.0,-0.09731961,602406.9,0.05530166,720159.5,-1.43053
Simulation_LCP_Moderate_Loc_Global,Simulation_LCP_Moderate_Loc_Global_Unit_21,Trace_4.txt,3,Moderate,Global,0.9999795475240336,0.9999734859688856,0.011669112079288977,-0.002866534722058331,0.010903334793398927,0.9999966170165294,0.9999908178844554,0.0010658603302405693,-0.013744537500000075,0.012756687565064609,0.9845083434612084,0.9844154727801122,0.022171924041013986,0.0456965599474999,1.0549289496319167,164857.4,0.004347735,323411.1,-0.2402544,470258.0,-0.2067839,602406.9,-0.6319627,720159.5,0.09266996
