Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
3.80189396320563e+01	(-6.97449676600611e-01dB,-2.03464149893529e+01°)
3.98107170553500e+01	(-7.47810050506004e-01dB,-2.12216519963362e+01°)
4.16869383470338e+01	(-8.02366071658571e-01dB,-2.21271365388311e+01°)
4.36515832240169e+01	(-8.61408236735745e-01dB,-2.30629781782444e+01°)
4.57088189614878e+01	(-9.25237250447352e-01dB,-2.40291627075942e+01°)
4.78630092322641e+01	(-9.94162721202244e-01dB,-2.50255396354466e+01°)
5.01187233627275e+01	(-1.06850155782466e+00dB,-2.60518099839736e+01°)
5.24807460249776e+01	(-1.14857605505231e+00dB,-2.71075147127284e+01°)
5.49540873857628e+01	(-1.23471166295590e+00dB,-2.81920241164496e+01°)
5.75439937337161e+01	(-1.32723444452436e+00dB,-2.93045285748474e+01°)
6.02559586074362e+01	(-1.42646823638250e+00dB,-3.04440310515877e+01°)
6.30957344480197e+01	(-1.53273153967786e+00dB,-3.16093417452724e+01°)
6.60693448007600e+01	(-1.64633418119699e+00dB,-3.27990752839572e+01°)
6.91830970918941e+01	(-1.76757379816811e+00dB,-3.40116508240386e+01°)
7.24435960074995e+01	(-1.89673221327751e+00dB,-3.52452953623586e+01°)
7.58577575029189e+01	(-2.03407177832425e+00dB,-3.64980504966295e+01°)
7.94328234724287e+01	(-2.17983177477353e+00dB,-3.77677827747048e+01°)
8.31763771102677e+01	(-2.33422496635034e+00dB,-3.90521976605578e+01°)
8.70963589956087e+01	(-2.49743440193168e+00dB,-4.03488570185918e+01°)
9.12010839355916e+01	(-2.66961056572799e+00dB,-4.16551998842709e+01°)
9.54992586021443e+01	(-2.85086896572736e+00dB,-4.29685661554908e+01°)
1.00000000000001e+02	(-3.04128824057201e+00dB,-4.42862227139044e+01°)
1.04712854805091e+02	(-3.24090884978322e+00dB,-4.56053913768490e+01°)
1.09647819614319e+02	(-3.44973239323880e+00dB,-4.69232779962449e+01°)
1.14815362149689e+02	(-3.66772158407079e+00dB,-4.82371019669738e+01°)
1.20226443461742e+02	(-3.89480087594709e+00dB,-4.95441253878221e+01°)
1.25892541179418e+02	(-4.13085772244491e+00dB,-5.08416811345578e+01°)
1.31825673855642e+02	(-4.37574442431010e+00dB,-5.21271991558620e+01°)
1.38038426460290e+02	(-4.62928050112136e+00dB,-5.33982303848186e+01°)
1.44543977074594e+02	(-4.89125550828437e+00dB,-5.46524677654915e+01°)
1.51356124843622e+02	(-5.16143220909073e+00dB,-5.58877640182902e+01°)
1.58489319246113e+02	(-5.43955000516516e+00dB,-5.71021459009937e+01°)
1.65958690743757e+02	(-5.72532852697018e+00dB,-5.82938248562592e+01°)
1.73780082874939e+02	(-6.01847128882295e+00dB,-5.94612040635126e+01°)
1.81970085861000e+02	(-6.31866931946835e+00dB,-6.06028820271248e+01°)
1.90546071796326e+02	(-6.62560468888578e+00dB,-6.17176529289343e+01°)
1.99526231496890e+02	(-6.93895386376530e+00dB,-6.28045040487385e+01°)
2.08929613085406e+02	(-7.25839083709757e+00dB,-6.38626106101044e+01°)
2.18776162394957e+02	(-7.58358999071727e+00dB,-6.48913284412964e+01°)
2.29086765276779e+02	(-7.91422866272137e+00dB,-6.58901848538567e+01°)
2.39883291901951e+02	(-8.24998940384690e+00dB,-6.68588681370863e+01°)
2.51188643150960e+02	(-8.59056191773708e+00dB,-6.77972160483862e+01°)
2.63026799189540e+02	(-8.93564468927294e+00dB,-6.87052036505415e+01°)
2.75422870333819e+02	(-9.28494631268810e+00dB,-6.95829308107400e+01°)
2.88403150312663e+02	(-9.63818653700678e+00dB,-7.04306096354812e+01°)
3.01995172040204e+02	(-9.99509705054233e+00dB,-7.12485520730767e+01°)
3.16227766016841e+02	(-1.03554220289181e+01dB,-7.20371578733386e+01°)
3.31131121482594e+02	(-1.07189184725194e+01dB,-7.27969030538827e+01°)
3.46736850452535e+02	(-1.10853563596597e+01dB,-7.35283289854468e+01°)
3.63078054770105e+02	(-1.14545186412762e+01dB,-7.42320321754250e+01°)
3.80189396320565e+02	(-1.18262011018379e+01dB,-7.49086547999148e+01°)
3.98107170553501e+02	(-1.22002121095607e+01dB,-7.55588760099798e+01°)
4.16869383470339e+02	(-1.25763722771240e+01dB,-7.61834040175249e+01°)
4.36515832240170e+02	(-1.29545140520056e+01dB,-7.67829689498276e+01°)
4.57088189614879e+02	(-1.33344812534170e+01dB,-7.73583164490512e+01°)
4.78630092322643e+02	(-1.37161285706917e+01dB,-7.79102019835566e+01°)
5.01187233627277e+02	(-1.40993210359395e+01dB,-7.84393858310641e+01°)
5.24807460249778e+02	(-1.44839334818580e+01dB,-7.89466286893168e+01°)
5.49540873857630e+02	(-1.48698499938199e+01dB,-7.94326878673943e+01°)
5.75439937337163e+02	(-1.52569633637540e+01dB,-7.98983140098954e+01°)
6.02559586074364e+02	(-1.56451745519059e+01dB,-8.03442483064850e+01°)
6.30957344480200e+02	(-1.60343921613011e+01dB,-8.07712201405150e+01°)
6.60693448007603e+02	(-1.64245319286419e+01dB,-8.11799451323190e+01°)
6.91830970918944e+02	(-1.68155162344223e+01dB,-8.15711235351564e+01°)
7.24435960074998e+02	(-1.72072736342502e+01dB,-8.19454389444608e+01°)
7.58577575029192e+02	(-1.75997384126885e+01dB,-8.23035572838994e+01°)
7.94328234724290e+02	(-1.79928501603758e+01dB,-8.26461260346796e+01°)
8.31763771102680e+02	(-1.83865533747244e+01dB,-8.29737736774414e+01°)
8.70963589956090e+02	(-1.87807970841301e+01dB,-8.32871093189128e+01°)
9.12010839355920e+02	(-1.91755344953320e+01dB,-8.35867224782205e+01°)
9.54992586021446e+02	(-1.95707226633343e+01dB,-8.38731830103186e+01°)
1.00000000000001e+03	(-1.99663221831278e+01dB,-8.41470411463995e+01°)
1.04712854805091e+03	(-2.03622969023214e+01dB,-8.44088276333794e+01°)
1.09647819614320e+03	(-2.07586136537054e+01dB,-8.46590539565978e+01°)
1.14815362149690e+03	(-2.11552420067073e+01dB,-8.48982126317362e+01°)
1.20226443461743e+03	(-2.15521540366721e+01dB,-8.51267775536654e+01°)
1.25892541179418e+03	(-2.19493241108810e+01dB,-8.53452043914547e+01°)
1.31825673855642e+03	(-2.23467286902300e+01dB,-8.55539310201586e+01°)
1.38038426460290e+03	(-2.27443461455021e+01dB,-8.57533779812264e+01°)
